Applicant_ID,Age,Monthly_Income_TL,Employment_Type,Employment_Tenure_Years,Education_Level,Marital_Status,Dependents,City,Home_Ownership,Credit_Score,Existing_Monthly_Debt_TL,Requested_Loan_Amount_TL,Loan_Term_Months,Loan_Purpose,Late_Payments_Last_2Y,Has_Guarantor,Loan_Approved
LA-00075,30,45951.18,Private_Sector,10,Associate,Single,3,Ankara,Owner,588,26050.91,136665.16,48,Business,2,No,No
LA-00076,62,66783.72,Self_Employed,21,High_School,Single,0,Gaziantep,Family_Home,708,32003.50,286388.97,12,Vehicle,4,No,No
LA-00077,65,65754.86,Self_Employed,16,Master,Married,3,Istanbul,Mortgage,705,13792.41,670417.69,120,Business,0,No,Yes
LA-00078,53,50948.37,Private_Sector,20,Bachelor,Married,1,Konya,Family_Home,503,8214.96,342958.02,48,Business,0,No,No
LA-00079,65,51923.24,Private_Sector,25,Bachelor,Married,1,Konya,Family_Home,673,14117.09,77841.52,24,Business,,No,Yes
LA-00080,55,33448.46,Self_Employed,9,Bachelor,Single,2,Antalya,Rent,757,9237.41,1182024.06,12,Vehicle,0,No,No
LA-00081,52,27945.13,Freelancer,19,Master,Married,2,Gaziantep,Owner,633,12703.35,403201.95,48,Business,0,Yes,Yes
LA-00082,34,48308.51,Freelancer,,Bachelor,Single,1,Antalya,Family_Home,466,28452.51,492489.90,12,Other,1,No,No
LA-00083,67,27795.88,Freelancer,10,Bachelor,Single,1,Gaziantep,Rent,633,7380.89,388822.83,24,Education,2,No,No
LA-00084,39,30793.06,Private_Sector,8,High_School,Single,2,Antalya,Mortgage,612,12918.27,237316.40,36,Other,0,No,No
LA-00085,27,48243.25,Private_Sector,6,Master,Married,3,Bursa,Mortgage,694,10245.31,306958.45,36,Debt_Consolidation,1,No,No
LA-00086,38,40515.83,Private_Sector,18,Bachelor,Married,1,Bursa,Mortgage,767,3933.96,638793.82,12,Other,0,No,Yes
LA-00087,48,22910.01,Private_Sector,20,High_School,Divorced,1,Izmir,Rent,697,11931.85,172798.91,36,Debt_Consolidation,6,No,No
LA-00088,44,70691.60,Private_Sector,12,Associate,Married,1,Adana,Rent,627,25637.74,684785.65,12,Home,0,Yes,No
LA-00089,50,84179.58,Public_Sector,12,High_School,Married,1,Ankara,Rent,480,15767.91,179738.38,84,Education,0,Yes,No
LA-00090,58,55328.54,Private_Sector,15,Master,Single,0,Izmir,Owner,667,30690.28,544262.40,24,Education,1,No,Yes
LA-00091,47,36868.06,Retired,17,High_School,Single,,Gaziantep,Owner,758,19473.00,314001.21,60,Other,0,No,Yes
LA-00092,43,33545.11,Freelancer,10,Master,Single,1,Izmir,Owner,749,17366.43,605938.62,84,Home,0,No,Yes
LA-00093,42,85581.71,Private_Sector,11,Bachelor,Married,1,Izmir,Mortgage,721,32101.75,210325.31,60,Business,0,No,Yes
LA-00094,41,,Private_Sector,7,Bachelor,Divorced,1,Izmir,Owner,840,35193.15,191051.12,24,Home,0,Yes,Yes
LA-00095,36,32777.03,Private_Sector,8,Associate,Widowed,2,Istanbul,Owner,619,17859.32,330401.92,60,Home,1,Yes,No
LA-00096,67,,Retired,29,Master,Divorced,2,Antalya,Mortgage,532,19237.12,283303.52,60,Home,0,No,No
LA-00097,53,95799.26,Private_Sector,15,Bachelor,Married,2,Izmir,Owner,697,23006.85,194641.67,24,Education,0,No,Yes
LA-00098,40,53825.90,Private_Sector,16,Bachelor,Single,3,Gaziantep,Mortgage,651,24649.88,105737.06,84,Other,3,No,No
LA-00099,45,59955.34,Private_Sector,16,Master,Single,3,Bursa,Rent,551,26450.56,561089.56,36,Home,1,No,No
LA-00100,63,73098.65,Self_Employed,12,Bachelor,Widowed,0,Gaziantep,Mortgage,690,40580.97,255961.88,120,Education,0,No,No
LA-00101,36,47884.09,Private_Sector,3,High_School,Married,0,Adana,Rent,585,29420.76,312356.70,48,Debt_Consolidation,3,Yes,No
LA-00102,57,38328.67,Private_Sector,15,Associate,Married,2,Antalya,Family_Home,594,4360.30,53940.54,60,Education,1,No,No
LA-00103,47,48698.49,Private_Sector,11,Master,Married,3,Bursa,Mortgage,677,28917.04,584714.98,84,Debt_Consolidation,0,Yes,Yes
LA-00104,31,57134.96,Private_Sector,7,High_School,Single,0,Bursa,Owner,738,30128.15,119748.66,120,Other,2,No,Yes
LA-00105,22,,Private_Sector,0,Doctorate,Married,2,Izmir,Rent,698,9010.37,429453.80,12,Business,0,No,Yes
LA-00106,66,60308.03,Self_Employed,19,Bachelor,Married,3,Adana,Family_Home,611,20457.71,137812.60,48,Education,0,Yes,No
LA-00107,68,17203.14,Freelancer,25,Master,Single,1,Gaziantep,Owner,,9705.63,812089.04,60,Business,0,No,No
LA-00108,59,63735.42,Private_Sector,13,Bachelor,Divorced,1,Antalya,Family_Home,,19033.53,154575.71,24,Other,0,No,Yes
LA-00109,68,58894.72,Private_Sector,15,Associate,Single,4,Gaziantep,Mortgage,734,27503.70,125097.72,120,Debt_Consolidation,0,No,Yes
LA-00110,64,107988.27,Public_Sector,19,Bachelor,Single,4,Gaziantep,Owner,649,7462.03,246626.45,120,Education,4,No,Yes
LA-00111,22,113256.31,Public_Sector,0,Associate,Married,4,Ankara,Family_Home,,44668.55,223311.09,48,Business,1,No,Yes
LA-00112,46,,Self_Employed,12,Bachelor,Single,1,Gaziantep,Mortgage,591,9443.82,114115.04,60,Education,1,No,Yes
LA-00113,36,21587.84,Self_Employed,0,Associate,Married,0,Istanbul,Mortgage,662,4303.46,255981.41,60,Debt_Consolidation,1,No,No
LA-00114,37,45060.97,Retired,11,Bachelor,Single,1,Ankara,Rent,860,10980.16,675002.70,12,Business,0,No,No
LA-00115,34,85474.99,Self_Employed,,High_School,Married,2,Istanbul,Rent,674,19680.30,255632.22,120,Business,0,Yes,Yes
LA-00116,57,73933.70,Private_Sector,14,High_School,Married,0,Istanbul,Rent,521,38616.65,211839.68,24,Home,1,Yes,Yes
LA-00117,66,48794.48,Self_Employed,20,Bachelor,Single,3,Ankara,Mortgage,865,9594.67,557151.44,36,Home,0,No,Yes
LA-00118,34,67705.51,Private_Sector,6,Bachelor,Married,1,Izmir,Owner,625,28031.22,329471.19,84,Education,1,No,Yes
LA-00119,48,63025.69,Public_Sector,15,Associate,Single,2,Bursa,Mortgage,657,4458.07,364829.82,48,Business,1,No,Yes
LA-00120,56,53789.36,Freelancer,18,Bachelor,Divorced,2,Izmir,Mortgage,497,19354.07,170311.06,24,Vehicle,2,No,No
LA-00121,48,59750.87,Public_Sector,15,Master,Married,2,Ankara,Owner,650,32097.96,261689.19,36,Business,0,No,No
LA-00122,53,44428.43,Private_Sector,7,Master,Married,0,Adana,Mortgage,480,21378.17,204186.50,48,Education,1,No,No
LA-00123,30,40509.68,Private_Sector,6,Bachelor,Single,0,Izmir,Mortgage,813,17179.74,320245.29,48,Business,0,No,Yes
LA-00124,67,31102.29,Public_Sector,22,Bachelor,Single,1,Istanbul,Mortgage,782,17911.08,386348.99,48,Home,0,No,Yes
LA-00125,63,34928.50,Public_Sector,17,High_School,Divorced,0,Bursa,Mortgage,698,3203.01,230871.85,84,Education,1,No,Yes
LA-00126,37,56035.44,Private_Sector,9,High_School,Single,0,Adana,Mortgage,799,15193.53,102777.37,36,Home,1,No,Yes
LA-00127,66,43947.32,Self_Employed,21,High_School,Single,2,Konya,Rent,574,3922.96,240188.01,120,Other,2,Yes,No
LA-00128,69,66005.02,Public_Sector,23,Bachelor,Married,1,Adana,Owner,818,14647.45,1631105.59,12,Business,0,No,Yes
LA-00129,34,52162.27,Private_Sector,4,High_School,Divorced,2,Izmir,Owner,692,,267530.27,48,Debt_Consolidation,0,No,Yes
LA-00130,46,40771.73,Private_Sector,7,Bachelor,Single,3,Adana,Owner,663,2649.87,565741.90,48,Home,0,No,Yes
LA-00131,46,28999.58,Private_Sector,12,Associate,Married,1,Adana,Rent,694,6235.69,437035.30,12,Vehicle,1,No,No
LA-00132,47,,Private_Sector,12,Master,Divorced,1,Izmir,Rent,765,15394.99,155397.94,84,Vehicle,1,Yes,Yes
LA-00133,35,38281.68,Self_Employed,4,High_School,Married,1,Izmir,Rent,661,15453.73,34292.17,36,Home,1,No,Yes
LA-00134,54,24961.11,Public_Sector,10,Bachelor,Married,2,Bursa,Mortgage,729,5556.45,166653.86,36,Debt_Consolidation,0,No,No
LA-00135,56,39987.97,Retired,25,High_School,Single,,Adana,Rent,722,7208.93,495055.39,36,Vehicle,0,Yes,No
LA-00136,49,35711.30,Public_Sector,15,High_School,Married,1,Istanbul,Rent,711,15500.23,233886.75,60,Home,2,No,No
LA-00137,32,146431.92,Private_Sector,1,Master,Married,1,Bursa,Family_Home,804,56020.40,93722.58,120,Business,0,No,Yes
LA-00138,38,84474.53,Public_Sector,16,Bachelor,Married,2,Bursa,Rent,580,49536.25,75003.76,36,Debt_Consolidation,0,Yes,No
LA-00139,43,23071.82,Public_Sector,16,Bachelor,Single,1,Izmir,Mortgage,689,2295.50,403949.40,48,Vehicle,0,No,No
LA-00140,37,54077.16,Public_Sector,8,Associate,Married,0,Konya,Owner,669,10575.39,203061.89,60,Home,0,Yes,Yes
LA-00141,34,52730.97,Private_Sector,3,Bachelor,Married,2,Izmir,Owner,641,9020.33,180496.48,12,Other,0,No,No
LA-00142,50,40269.12,Freelancer,14,High_School,Married,1,Istanbul,Mortgage,493,7530.55,442886.22,12,Other,1,No,No
LA-00143,36,24711.95,Private_Sector,8,High_School,Divorced,0,Konya,Family_Home,592,14418.57,175089.64,84,Other,0,No,No
LA-00144,52,26998.98,Private_Sector,10,Associate,Single,0,Adana,Rent,565,4512.36,379113.56,120,Business,0,No,No
LA-00145,51,61575.25,Private_Sector,15,High_School,Married,3,Izmir,Family_Home,650,17908.42,343526.14,60,Business,0,No,Yes
LA-00146,67,56576.07,Self_Employed,19,High_School,Married,5,Istanbul,Rent,608,28019.30,212737.38,12,Vehicle,0,No,No
LA-00147,36,19556.93,Private_Sector,4,High_School,Married,0,Izmir,Owner,649,5406.79,660490.47,36,Vehicle,1,No,No
LA-00148,46,49226.94,Private_Sector,13,Doctorate,Single,0,Bursa,Family_Home,625,3627.42,122821.94,36,Other,0,Yes,Yes
LA-00149,41,76331.78,Self_Employed,15,Bachelor,Single,1,Istanbul,Rent,610,6527.49,37030.07,60,Other,0,No,No
LA-00150,28,34463.55,Freelancer,6,Bachelor,Single,2,Antalya,Rent,,3214.15,599648.66,36,Home,1,No,No
LA-00151,56,60840.09,Public_Sector,14,Doctorate,Married,1,Bursa,Rent,658,16909.70,45831.56,12,Education,1,No,Yes
LA-00152,33,60425.91,Self_Employed,10,Master,Married,2,Istanbul,Family_Home,574,35477.09,44402.25,12,Vehicle,0,No,No
LA-00153,46,101323.54,Public_Sector,18,High_School,Single,5,Istanbul,Rent,834,13583.96,255927.76,36,Education,2,No,Yes
LA-00154,56,29901.95,Public_Sector,8,Master,Married,3,Gaziantep,Owner,716,17489.59,228872.59,36,Education,0,No,Yes
LA-00155,57,35024.04,Freelancer,7,High_School,Married,1,Ankara,Mortgage,663,13602.57,216693.84,84,Debt_Consolidation,0,No,Yes
LA-00156,24,53469.52,Public_Sector,0,High_School,Married,1,Gaziantep,Family_Home,733,26842.59,173435.04,36,Debt_Consolidation,0,No,No
LA-00157,58,56581.55,Private_Sector,19,Associate,Single,2,Ankara,Owner,759,18005.27,142165.18,24,Debt_Consolidation,1,Yes,No
LA-00158,21,78184.55,Self_Employed,0,Bachelor,Married,0,Antalya,Owner,710,,199000.48,48,Home,0,No,No
LA-00159,26,39208.73,Retired,8,Bachelor,Single,2,Istanbul,Rent,475,8698.21,256098.39,48,Vehicle,2,Yes,No
LA-00160,39,49170.91,Private_Sector,8,Bachelor,Single,2,Konya,Mortgage,790,13139.22,418297.47,48,Other,0,No,Yes
LA-00161,30,39499.39,Retired,12,Bachelor,Married,0,Antalya,Mortgage,634,10188.34,282761.40,12,Business,0,No,No
LA-00162,61,42810.77,Private_Sector,18,Bachelor,Married,2,Antalya,Family_Home,675,9940.15,144796.31,60,Education,,Yes,Yes
LA-00163,26,35414.62,Public_Sector,5,Bachelor,Married,3,Izmir,Mortgage,626,2588.23,279155.61,24,Business,1,No,Yes
LA-00164,35,48388.41,Freelancer,6,Bachelor,Single,2,Istanbul,Rent,652,11372.63,189631.72,120,Vehicle,0,No,Yes
LA-00165,56,87953.73,Self_Employed,18,High_School,Single,5,Bursa,Rent,614,32756.05,797167.50,60,Business,0,No,Yes
LA-00166,57,40167.17,Private_Sector,9,Associate,Married,3,Adana,Mortgage,555,21701.72,265431.02,84,Other,0,Yes,No
LA-00167,39,73866.33,Public_Sector,,Master,Married,3,Gaziantep,Rent,694,7719.41,143705.03,36,Education,1,Yes,Yes
LA-00168,45,77716.58,Self_Employed,16,Master,Single,4,Ankara,Owner,666,23588.64,70717.89,48,Other,0,No,Yes
LA-00169,53,36664.30,Private_Sector,13,Bachelor,Single,3,Istanbul,Rent,738,8867.75,137145.73,84,Business,0,No,Yes
LA-00170,57,68320.41,Private_Sector,20,Master,Married,2,Antalya,Mortgage,810,39820.28,73196.41,60,Home,0,Yes,Yes
LA-00171,67,81551.90,Public_Sector,23,Associate,Married,0,Bursa,Rent,696,28112.56,284523.66,48,Business,1,No,Yes
LA-00172,66,16187.93,Private_Sector,21,Bachelor,Single,4,Bursa,Owner,539,1065.91,229962.42,36,Home,1,Yes,No
LA-00173,49,98919.03,Private_Sector,15,Doctorate,Married,3,Bursa,Mortgage,881,30527.02,285247.05,36,Debt_Consolidation,0,No,Yes
LA-00174,44,32861.05,Freelancer,7,Bachelor,Single,4,Izmir,Owner,537,7623.06,435012.55,84,Other,0,No,No
LA-00175,26,29755.72,Private_Sector,3,High_School,Divorced,1,Istanbul,Owner,647,11464.04,189137.83,48,Business,0,No,Yes
LA-00176,55,,Private_Sector,24,Bachelor,Married,1,Antalya,Mortgage,678,17187.16,677110.27,12,Home,0,No,No
LA-00177,66,38068.02,Private_Sector,17,High_School,Single,0,Antalya,Mortgage,742,3017.29,278224.69,36,Debt_Consolidation,0,No,No
LA-00178,42,69126.62,Public_Sector,10,Master,Married,,Istanbul,Rent,609,38135.17,113658.72,84,Other,0,No,Yes
LA-00179,51,69255.21,Private_Sector,8,Associate,Single,1,Izmir,Rent,635,28774.79,179829.03,84,Business,0,No,Yes
LA-00180,69,46864.78,Private_Sector,17,Associate,Married,0,Istanbul,Family_Home,553,17776.56,261970.05,60,Debt_Consolidation,1,No,No
LA-00181,45,89458.77,Private_Sector,6,Bachelor,Single,2,Istanbul,Rent,495,36501.39,217814.65,60,Vehicle,2,No,Yes
LA-00182,48,23826.01,Private_Sector,19,Bachelor,Married,0,Konya,Rent,591,6549.25,180957.90,84,Home,0,No,No
LA-00183,62,59346.12,Freelancer,19,Master,Single,3,Antalya,Mortgage,737,21084.45,1345474.03,120,Education,1,Yes,Yes
LA-00184,39,43947.31,Private_Sector,2,Bachelor,Single,2,Antalya,Rent,420,8359.59,537552.75,48,Education,0,No,No
LA-00185,61,35090.02,Freelancer,19,Bachelor,Married,2,Antalya,Rent,583,4756.50,67748.69,36,Debt_Consolidation,1,Yes,No
LA-00186,31,39588.67,Private_Sector,6,Master,Married,2,Adana,Rent,676,6010.18,100837.94,84,Vehicle,0,No,Yes
LA-00187,65,47523.64,Self_Employed,16,Bachelor,Married,0,Bursa,Owner,591,8960.82,676679.47,24,Business,0,No,No
LA-00188,28,37280.33,Self_Employed,9,Associate,Widowed,0,Ankara,Mortgage,573,41275.57,74644.94,120,Home,0,No,No
LA-00189,35,28333.09,Self_Employed,5,Master,Married,1,Konya,Mortgage,620,10724.38,532746.48,12,Other,0,No,No
LA-00190,45,76534.61,Private_Sector,8,Bachelor,Divorced,3,Adana,Rent,592,30977.10,136746.29,60,Other,0,No,No
LA-00191,54,41825.44,Retired,11,Bachelor,Single,2,Ankara,Owner,678,2817.09,314906.83,24,Education,0,No,Yes
LA-00192,25,25337.53,Private_Sector,4,Master,Married,2,Ankara,Rent,584,1476.61,46126.72,24,Debt_Consolidation,0,No,No
LA-00193,61,103511.48,Public_Sector,24,Master,Single,0,Izmir,Owner,672,49317.59,125613.29,60,Home,0,No,Yes
LA-00194,60,40006.70,Public_Sector,26,Master,Single,,Bursa,Owner,640,23924.58,383151.25,60,Education,0,No,No
LA-00195,62,68276.36,Self_Employed,21,Bachelor,Married,3,Adana,Owner,809,8888.93,181480.00,12,Home,0,Yes,Yes
LA-00196,49,42564.72,Private_Sector,5,Master,Married,0,Bursa,Rent,714,11707.29,1292089.18,48,Home,1,No,No
LA-00197,42,48445.56,Public_Sector,15,Bachelor,Divorced,1,Ankara,Mortgage,676,6924.98,343780.09,24,Debt_Consolidation,0,No,No
LA-00198,37,31441.25,Self_Employed,8,High_School,Married,2,Istanbul,Family_Home,687,9753.22,408325.74,36,Debt_Consolidation,0,Yes,No
LA-00199,45,31559.79,Private_Sector,8,Master,Single,3,Konya,Mortgage,571,17221.50,37591.48,36,Vehicle,1,Yes,No
LA-00200,49,39283.64,Freelancer,14,Master,Married,1,Adana,Rent,646,18528.28,197689.95,84,Debt_Consolidation,1,No,No
LA-00201,40,86570.68,Private_Sector,5,Bachelor,Single,3,Bursa,Rent,748,24745.30,514932.28,120,Vehicle,0,Yes,Yes
LA-00202,56,62505.43,Public_Sector,16,Bachelor,Single,1,Gaziantep,Rent,624,35654.96,119814.49,12,Debt_Consolidation,1,No,No
LA-00203,65,28114.42,Freelancer,16,Bachelor,Married,1,Adana,Mortgage,733,8591.65,445888.50,48,Debt_Consolidation,1,No,Yes
