Property_ID,District,Building_Type,Gross_Area_m2,Rooms,Bathrooms,Building_Age,Floor,Total_Floors,Heating_Type,Furnished_Status,Parking_Spaces,Balconies,In_Residential_Complex,View_Type,Distance_to_Center_km,Distance_to_Transit_km,Elevator,Security,Price_TL
HP-00023,Atasehir,Apartment,115.9,4,2,5,21,27,Central,Semi_Furnished,1,2,Yes,Sea,0.54,1.55,Yes,No,11243821.53
HP-00024,Kadikoy,Apartment,,5,2,2,18,21,Central,Furnished,2,1,No,Sea,1.59,1.69,Yes,Yes,16160915.38
HP-00025,Konyaalti,Detached,222.1,5,2,,0,4,Natural_Gas,Unfurnished,1,2,Yes,Street,11.28,0.90,Yes,Yes,15598874.72
HP-00026,Karsiyaka,Apartment,160.3,6,2,2,12,17,Natural_Gas,Furnished,0,1,No,Street,7.55,1.48,Yes,Yes,8613741.84
HP-00027,Cankaya,Apartment,78.9,3,1,11,1,4,Natural_Gas,Unfurnished,2,1,Yes,Nature,2.34,0.88,Yes,No,3622200.68
HP-00028,Uskudar,Apartment,82.9,2,1,48,20,23,Natural_Gas,Unfurnished,1,2,No,Park,10.70,0.44,Yes,No,4161586.57
HP-00029,Uskudar,Apartment,,3,1,7,10,20,Natural_Gas,Furnished,1,1,No,Street,5.38,0.49,Yes,No,6182494.98
HP-00030,Besiktas,Detached,193.9,6,2,4,0,5,,Unfurnished,1,2,No,City,0.90,0.74,Yes,Yes,19776975.32
HP-00031,Beylikduzu,Residence,75.5,2,1,9,0,2,Central,Semi_Furnished,0,1,Yes,Park,2.60,1.06,No,No,3000054.21
HP-00032,Karsiyaka,Apartment,82.3,2,1,7,23,29,Natural_Gas,Semi_Furnished,1,1,No,Sea,2.71,0.63,Yes,Yes,5866331.97
HP-00033,Cankaya,Apartment,35.0,1,1,37,28,35,Central,Unfurnished,1,1,Yes,Street,5.53,3.24,Yes,Yes,1450668.82
HP-00034,Uskudar,Apartment,92.1,3,1,5,24,26,Heat_Pump,Furnished,1,1,No,Park,6.45,1.00,Yes,Yes,7054147.51
HP-00035,Konyaalti,Townhouse,197.3,7,2,8,10,13,Natural_Gas,Unfurnished,2,2,No,Park,4.42,1.07,No,Yes,13575424.83
HP-00036,Konyaalti,Apartment,150.7,4,1,16,9,22,Central,Furnished,2,3,Yes,Nature,2.84,0.74,No,Yes,8719045.30
HP-00037,Atasehir,Apartment,35.0,1,1,20,17,19,Natural_Gas,Unfurnished,0,1,No,Sea,3.46,0.38,Yes,Yes,2094666.23
HP-00038,Konyaalti,Apartment,127.5,4,2,18,3,11,Central,Unfurnished,2,,No,Street,4.97,0.59,Yes,No,7258643.91
HP-00039,Sisli,Apartment,79.4,2,1,7,7,12,Natural_Gas,Semi_Furnished,1,1,No,Street,3.03,3.14,No,Yes,5344607.13
HP-00040,Karsiyaka,Apartment,110.7,3,1,4,8,10,,Unfurnished,1,0,No,Street,4.84,1.29,No,No,5111184.29
HP-00041,Konyaalti,Apartment,218.4,7,3,46,13,16,Natural_Gas,Semi_Furnished,1,2,No,Street,4.91,0.71,Yes,No,7306902.67
HP-00042,Atasehir,Apartment,158.7,4,1,0,17,30,Natural_Gas,Furnished,1,2,No,Park,3.08,1.29,Yes,No,10591818.51
HP-00043,Kadikoy,Townhouse,258.8,7,3,9,16,24,Central,Unfurnished,2,0,Yes,Street,8.35,0.42,Yes,No,21716367.47
HP-00044,Besiktas,Apartment,160.3,5,2,31,1,10,Central,Semi_Furnished,2,,Yes,Street,5.30,0.40,Yes,Yes,14321097.79
HP-00045,Atasehir,Villa,212.5,5,2,12,0,3,Central,Semi_Furnished,1,3,Yes,City,9.14,0.93,Yes,No,19456041.72
HP-00046,Konyaalti,Detached,119.2,4,2,12,0,11,Heat_Pump,Unfurnished,1,1,Yes,Street,2.79,0.91,No,No,7123417.21
HP-00047,Besiktas,Apartment,211.7,5,2,41,11,22,Electric,Unfurnished,2,0,Yes,Park,2.37,0.88,Yes,No,15293298.46
HP-00048,Sisli,Apartment,136.3,3,1,13,22,31,Natural_Gas,Unfurnished,0,1,Yes,Street,5.58,1.00,Yes,No,8564268.04
HP-00049,Atasehir,Residence,134.2,4,2,5,2,10,Natural_Gas,Semi_Furnished,1,1,No,Nature,9.34,1.14,Yes,No,8530076.49
HP-00050,Nilufer,Apartment,76.2,3,1,19,16,22,Natural_Gas,Semi_Furnished,0,0,Yes,Street,8.71,0.30,No,Yes,2134005.93
HP-00051,Nilufer,Apartment,118.7,3,1,,6,13,Natural_Gas,Unfurnished,2,1,No,Sea,4.67,1.09,Yes,Yes,3962530.74
HP-00052,Konyaalti,Apartment,144.4,4,1,9,11,20,Coal,Unfurnished,0,1,Yes,City,1.71,1.16,Yes,Yes,10626342.60
HP-00053,Konyaalti,Residence,243.4,7,3,0,27,39,Natural_Gas,Furnished,0,1,Yes,City,4.28,0.62,No,Yes,20656690.87
HP-00054,Besiktas,Detached,293.1,9,3,2,0,2,Electric,Unfurnished,1,3,No,Street,10.95,0.90,No,No,33450515.40
HP-00055,Uskudar,Villa,138.1,4,2,42,0,8,Natural_Gas,Unfurnished,2,1,No,Park,5.58,2.31,Yes,No,10638024.27
HP-00056,Beylikduzu,Apartment,144.8,4,1,2,13,24,Natural_Gas,Semi_Furnished,0,2,Yes,Nature,9.09,0.91,No,No,6871448.83
HP-00057,Nilufer,Apartment,101.6,3,1,9,26,36,Natural_Gas,Unfurnished,1,2,No,Street,2.20,0.57,No,Yes,3644269.87
HP-00058,Uskudar,Residence,111.9,3,1,19,9,20,Natural_Gas,Semi_Furnished,2,2,Yes,Street,3.18,0.78,No,No,8139344.74
HP-00059,Cankaya,Apartment,266.0,6,3,10,28,33,Natural_Gas,Furnished,0,1,Yes,City,3.56,0.43,Yes,No,18064252.52
HP-00060,Besiktas,Detached,161.0,5,2,4,0,4,Natural_Gas,Unfurnished,1,2,Yes,Street,0.58,1.36,Yes,Yes,18623618.28
HP-00061,Nilufer,Apartment,207.7,6,2,4,22,25,Central,Semi_Furnished,0,2,No,Street,1.36,1.57,Yes,Yes,7270844.80
HP-00062,Atasehir,Apartment,127.9,3,1,19,14,25,Natural_Gas,Unfurnished,2,1,No,City,3.11,1.22,Yes,No,7956205.54
HP-00063,Uskudar,Apartment,77.1,2,1,4,5,11,Heat_Pump,Unfurnished,1,2,Yes,Street,,0.55,Yes,Yes,6001860.63
HP-00064,Cankaya,Townhouse,240.6,6,2,5,11,21,Central,Unfurnished,3,1,No,Park,0.96,2.55,No,Yes,17019254.89
HP-00065,Beylikduzu,Villa,211.9,6,2,9,0,4,Natural_Gas,Furnished,2,2,Yes,Sea,7.89,0.08,Yes,No,17144259.24
HP-00066,Besiktas,Apartment,209.2,6,3,22,25,33,Natural_Gas,Unfurnished,1,1,Yes,Street,14.49,0.86,Yes,No,15207265.61
HP-00067,Uskudar,Apartment,121.2,4,1,7,23,25,Natural_Gas,Semi_Furnished,2,3,Yes,Street,0.86,0.81,Yes,Yes,8556731.39
HP-00068,Nilufer,Detached,226.5,7,3,8,0,9,Natural_Gas,Semi_Furnished,1,2,Yes,Park,7.97,0.76,Yes,Yes,11388693.99
HP-00069,Beylikduzu,Apartment,134.8,3,1,23,19,23,Natural_Gas,Unfurnished,1,0,Yes,Street,7.34,1.99,No,No,3892801.84
HP-00070,Atasehir,Apartment,173.4,5,2,5,13,21,Natural_Gas,Furnished,0,1,No,Street,5.16,1.62,Yes,Yes,9840897.46
HP-00071,Kadikoy,Apartment,35.0,1,1,0,0,8,Natural_Gas,Semi_Furnished,1,2,Yes,Nature,1.01,1.08,Yes,No,3272153.64
HP-00072,Kadikoy,Detached,291.8,7,3,21,0,4,Natural_Gas,Unfurnished,1,2,Yes,City,2.17,2.60,No,No,25582504.64
HP-00073,Kadikoy,Apartment,157.2,4,1,10,16,24,Natural_Gas,Semi_Furnished,1,2,Yes,City,4.75,1.17,No,No,11547216.97
HP-00074,Kadikoy,Detached,161.5,4,2,8,0,10,,Furnished,1,1,Yes,City,13.40,0.29,Yes,Yes,14375014.51
HP-00075,Beylikduzu,Villa,262.4,6,3,10,0,7,Natural_Gas,Furnished,3,2,No,City,2.08,2.74,Yes,No,13215976.05
HP-00076,Besiktas,Apartment,160.3,4,2,32,14,19,Natural_Gas,Unfurnished,0,1,No,Nature,,1.01,Yes,No,13520764.47
HP-00077,Konyaalti,Detached,127.2,3,1,0,0,8,Natural_Gas,Unfurnished,0,1,No,Nature,13.30,0.62,Yes,Yes,9203016.87
HP-00078,Beylikduzu,Residence,183.3,5,2,8,4,6,Central,Unfurnished,1,2,No,Street,7.67,0.90,Yes,No,6994060.83
HP-00079,Nilufer,Apartment,114.1,3,1,24,16,28,Central,Unfurnished,1,3,No,City,5.12,2.40,No,Yes,4597787.80
HP-00080,Sisli,Apartment,155.6,4,2,0,15,19,Natural_Gas,Semi_Furnished,2,2,Yes,Nature,4.85,1.13,Yes,No,16641178.91
HP-00081,Beylikduzu,Apartment,107.9,3,1,32,3,7,Natural_Gas,Semi_Furnished,1,0,No,Street,0.70,0.70,Yes,No,3097488.58
HP-00082,Kadikoy,Residence,98.4,3,1,32,23,26,Natural_Gas,Unfurnished,1,2,No,Street,1.83,1.58,Yes,No,7158369.06
HP-00083,Uskudar,Townhouse,107.4,4,2,57,1,3,Natural_Gas,Unfurnished,0,0,Yes,City,4.29,0.86,Yes,Yes,4201464.32
HP-00084,Cankaya,Apartment,114.7,3,1,28,23,35,Natural_Gas,Unfurnished,1,1,Yes,Street,1.40,1.30,No,No,5261325.09
HP-00085,Cankaya,Apartment,117.7,3,1,13,11,23,Natural_Gas,Unfurnished,2,1,Yes,Street,1.78,0.64,Yes,No,6675550.81
HP-00086,Atasehir,Apartment,161.9,4,2,3,11,15,Natural_Gas,Semi_Furnished,1,2,Yes,Sea,8.85,0.32,Yes,No,13601365.57
HP-00087,Nilufer,Apartment,113.4,3,1,7,0,12,Central,Furnished,1,0,No,Street,15.95,0.41,Yes,No,3341104.33
HP-00088,Kadikoy,Apartment,168.9,6,2,9,1,3,Central,Unfurnished,2,1,No,Nature,7.55,1.54,Yes,No,14179445.71
HP-00089,Kadikoy,Apartment,108.3,3,1,6,25,32,Electric,Unfurnished,1,2,No,Park,2.17,1.44,Yes,Yes,8041063.96
HP-00090,Atasehir,Apartment,61.8,2,1,17,6,9,Central,Unfurnished,1,1,No,Nature,12.11,2.96,Yes,No,7609154.31
HP-00091,Atasehir,Apartment,128.7,4,1,21,15,27,Coal,Unfurnished,0,1,Yes,Street,4.62,0.32,Yes,Yes,6367206.69
HP-00092,Beylikduzu,Villa,190.2,7,3,62,0,11,Natural_Gas,Semi_Furnished,1,1,Yes,Street,3.89,1.48,Yes,No,5803685.77
HP-00093,Karsiyaka,Apartment,103.9,3,1,27,1,10,Natural_Gas,Furnished,1,2,Yes,City,14.77,1.19,Yes,No,4296802.19
HP-00094,Karsiyaka,Apartment,35.0,1,1,3,12,23,Central,Furnished,2,2,Yes,Street,5.22,2.50,Yes,No,2026959.33
HP-00095,Besiktas,Apartment,144.1,3,1,44,27,32,Coal,Unfurnished,1,,Yes,Nature,4.92,2.46,Yes,No,9018427.27
HP-00096,Konyaalti,Apartment,117.1,4,2,0,27,33,Natural_Gas,Unfurnished,1,1,Yes,Street,10.16,1.44,No,No,6314052.96
HP-00097,Sisli,Residence,220.9,5,2,5,17,28,Coal,Unfurnished,2,1,No,Street,9.59,0.65,Yes,No,16520411.65
HP-00098,Karsiyaka,Apartment,82.9,3,1,22,24,28,Central,Semi_Furnished,1,0,Yes,Nature,4.92,2.53,No,No,3356799.81
HP-00099,Cankaya,Apartment,80.2,2,1,,10,21,Central,Unfurnished,1,1,Yes,Street,10.04,1.76,Yes,Yes,2761038.14
HP-00100,Atasehir,Apartment,128.8,3,1,5,28,39,Electric,Semi_Furnished,0,2,No,Park,5.13,2.35,Yes,No,9209758.95
HP-00101,Kadikoy,Detached,223.1,5,2,8,0,12,Central,Semi_Furnished,1,2,Yes,Park,5.19,2.13,Yes,Yes,23068273.38
HP-00102,Cankaya,Apartment,115.8,3,1,57,28,36,Natural_Gas,Unfurnished,1,0,No,Street,4.48,0.75,Yes,No,3949728.41
HP-00103,Uskudar,Townhouse,260.3,7,3,17,1,13,Central,Unfurnished,1,2,Yes,Nature,7.54,0.17,No,No,21307883.73
HP-00104,Uskudar,Apartment,152.0,4,2,,21,25,Natural_Gas,Furnished,1,1,Yes,Street,13.92,0.39,Yes,No,7720664.04
HP-00105,Besiktas,Apartment,,3,1,3,23,27,Natural_Gas,Unfurnished,2,1,Yes,Sea,9.27,0.05,No,Yes,14049903.34
HP-00106,Cankaya,Villa,203.5,5,2,25,0,13,Natural_Gas,Unfurnished,2,1,No,Nature,3.54,0.20,Yes,Yes,14719649.59
HP-00107,Konyaalti,Apartment,,2,1,10,2,9,Heat_Pump,Semi_Furnished,0,0,Yes,City,11.36,0.42,Yes,Yes,3220779.80
HP-00108,Sisli,Apartment,115.5,3,1,15,2,14,Central,Furnished,1,2,Yes,Park,19.36,0.15,Yes,No,11927400.74
HP-00109,Karsiyaka,Detached,198.1,7,2,1,0,12,Natural_Gas,Semi_Furnished,0,0,No,City,6.87,0.76,No,Yes,11843938.37
HP-00110,Besiktas,Apartment,101.8,3,1,28,5,7,Natural_Gas,Semi_Furnished,1,2,Yes,Street,1.31,0.89,Yes,Yes,6900665.40
HP-00111,Karsiyaka,Apartment,35.0,1,1,34,5,16,Natural_Gas,Furnished,1,,No,Park,3.99,0.55,No,No,1503021.39
HP-00112,Beylikduzu,Apartment,169.4,4,1,1,12,25,Heat_Pump,Semi_Furnished,1,2,No,Nature,4.04,2.08,Yes,No,7070223.19
HP-00113,Konyaalti,Detached,227.5,7,2,12,0,5,Natural_Gas,Semi_Furnished,2,1,No,Street,2.93,0.25,Yes,No,17978625.34
HP-00114,Besiktas,Apartment,99.0,3,1,12,20,24,Natural_Gas,Semi_Furnished,0,3,No,Sea,7.37,0.18,Yes,No,12987316.52
HP-00115,Nilufer,Detached,280.2,9,3,6,0,8,Natural_Gas,Semi_Furnished,0,4,No,Street,3.05,0.78,Yes,No,10855288.07
HP-00116,Atasehir,Apartment,85.3,2,1,9,16,22,Natural_Gas,Semi_Furnished,0,2,Yes,Street,18.09,0.86,No,No,3710362.96
HP-00117,Kadikoy,Apartment,181.5,5,2,7,26,35,Natural_Gas,Unfurnished,2,3,Yes,Sea,3.34,1.23,Yes,Yes,17384135.61
HP-00118,Nilufer,Apartment,125.4,4,1,10,20,32,Central,Unfurnished,1,1,No,Street,6.64,1.10,Yes,Yes,3941110.35
HP-00119,Karsiyaka,Apartment,73.3,3,1,12,1,14,Natural_Gas,Unfurnished,1,1,No,Street,4.23,0.11,No,Yes,2979468.18
HP-00120,Konyaalti,Apartment,183.3,5,2,7,3,7,Natural_Gas,Furnished,1,1,Yes,City,10.58,1.08,No,Yes,9482364.22
HP-00121,Kadikoy,Apartment,47.6,2,1,9,23,34,Electric,Unfurnished,1,1,Yes,Street,0.24,3.27,Yes,No,3281180.89
HP-00122,Besiktas,Detached,227.0,6,3,1,0,2,Electric,Furnished,1,2,No,Street,7.57,1.43,No,No,24917698.83
HP-00123,Atasehir,Detached,208.2,7,2,9,0,9,Central,Furnished,1,1,No,Sea,3.64,0.97,Yes,Yes,21805681.81
HP-00124,Cankaya,Apartment,167.3,5,2,6,12,15,Central,Unfurnished,1,1,Yes,Street,2.70,0.73,Yes,No,10200764.97
HP-00125,Kadikoy,Detached,133.7,4,2,2,0,6,Natural_Gas,Semi_Furnished,0,1,Yes,Street,1.47,0.28,No,Yes,10802518.72
HP-00126,Kadikoy,Apartment,178.2,6,2,6,22,27,Natural_Gas,Unfurnished,0,3,Yes,Park,4.29,1.25,No,Yes,15043214.91
HP-00127,Kadikoy,Detached,224.1,8,4,18,0,13,Natural_Gas,Semi_Furnished,1,0,No,Street,3.30,1.32,Yes,No,19766610.10
HP-00128,Sisli,Residence,84.9,2,1,38,21,23,Central,Unfurnished,1,2,Yes,Sea,3.94,0.26,No,Yes,8000460.08
HP-00129,Atasehir,Apartment,141.2,4,2,9,28,39,Central,Furnished,1,1,Yes,Sea,9.31,0.37,Yes,Yes,12080785.47
HP-00130,Karsiyaka,Townhouse,261.3,8,4,5,19,27,Natural_Gas,Unfurnished,1,0,No,City,3.07,1.27,Yes,No,15441370.86
HP-00131,Besiktas,Apartment,87.9,2,1,3,12,19,Natural_Gas,Unfurnished,1,0,No,City,18.38,2.72,Yes,No,6403308.41
HP-00132,Beylikduzu,Apartment,199.0,5,2,75,10,17,Central,Unfurnished,1,1,No,Sea,2.68,0.84,No,Yes,6074004.52
HP-00133,Beylikduzu,Apartment,,3,1,15,18,25,Natural_Gas,Furnished,0,1,No,City,17.94,0.92,Yes,No,3267649.89
HP-00134,Sisli,Apartment,35.7,1,1,60,25,37,Natural_Gas,Unfurnished,0,1,No,Sea,4.13,0.89,Yes,No,1759696.70
HP-00135,Karsiyaka,Detached,189.1,6,2,8,0,3,Central,Unfurnished,0,1,No,City,5.58,1.04,No,No,9583246.39
HP-00136,Nilufer,Detached,192.6,7,2,8,0,12,Natural_Gas,Semi_Furnished,1,2,No,Sea,5.80,0.14,No,No,12795642.55
HP-00137,Kadikoy,Apartment,94.3,2,1,11,20,32,Central,Unfurnished,2,1,Yes,Park,3.29,1.27,Yes,No,9903451.11
HP-00138,Besiktas,Apartment,141.2,4,1,0,13,21,Natural_Gas,Unfurnished,2,2,No,Street,13.32,0.82,Yes,No,13144270.55
HP-00139,Beylikduzu,Detached,159.8,5,2,19,0,13,Natural_Gas,Unfurnished,0,1,No,Nature,9.25,1.54,Yes,Yes,6212761.89
HP-00140,Sisli,Villa,176.8,6,2,15,0,3,Central,Furnished,1,2,Yes,Street,5.34,1.74,No,No,16055496.88
HP-00141,Karsiyaka,Detached,168.5,5,2,1,0,8,Natural_Gas,Semi_Furnished,1,4,No,Nature,6.04,1.41,Yes,No,15676906.49
HP-00142,Cankaya,Apartment,61.5,2,1,24,4,15,Natural_Gas,Semi_Furnished,1,2,Yes,Street,2.97,0.82,No,Yes,2707623.68
HP-00143,Atasehir,Apartment,135.4,4,1,12,20,22,Central,Unfurnished,2,2,Yes,Nature,9.42,0.45,No,No,9017175.38
HP-00144,Beylikduzu,Apartment,86.1,2,1,12,21,34,Natural_Gas,Furnished,1,1,No,Sea,3.94,0.28,Yes,No,4488667.07
HP-00145,Uskudar,Residence,231.6,8,3,29,24,28,Central,Unfurnished,3,1,Yes,Park,4.92,1.51,No,Yes,18047044.38
HP-00146,Sisli,Apartment,152.6,4,1,2,22,31,Natural_Gas,Semi_Furnished,0,1,No,City,3.21,0.36,No,Yes,10912354.58
HP-00147,Beylikduzu,Residence,119.9,4,1,26,14,18,Natural_Gas,Semi_Furnished,1,0,Yes,City,11.36,0.41,Yes,Yes,4503985.76
HP-00148,Sisli,Detached,261.4,9,3,16,0,4,Natural_Gas,Unfurnished,1,2,No,Street,2.95,1.34,No,No,21392864.28
HP-00149,Nilufer,Detached,167.6,4,2,25,0,2,,Furnished,2,1,No,Street,4.99,1.10,Yes,Yes,6233784.14
HP-00150,Karsiyaka,Townhouse,85.4,2,1,73,8,19,Natural_Gas,Unfurnished,0,3,Yes,Street,4.87,0.34,Yes,No,2420540.46
HP-00151,Besiktas,Apartment,148.7,4,2,1,7,16,Natural_Gas,Semi_Furnished,1,1,No,Street,2.30,0.58,Yes,No,13183140.05
HP-00152,Atasehir,Apartment,159.9,6,2,37,16,24,Natural_Gas,Unfurnished,1,2,No,Nature,0.98,1.05,Yes,No,9772057.14
HP-00153,Cankaya,Apartment,168.8,5,2,9,15,20,Heat_Pump,Unfurnished,1,1,Yes,City,1.31,0.60,Yes,No,8873375.19
HP-00154,Cankaya,Apartment,123.1,3,1,11,16,19,Natural_Gas,Unfurnished,1,1,No,Park,8.77,0.81,Yes,Yes,6446298.03
HP-00155,Beylikduzu,Apartment,200.2,6,2,2,5,18,Natural_Gas,Furnished,3,1,Yes,Nature,4.93,0.71,Yes,Yes,10082476.14
HP-00156,Konyaalti,Villa,162.0,5,2,13,0,13,Natural_Gas,Semi_Furnished,1,1,No,Sea,6.12,0.84,Yes,No,16271071.42
HP-00157,Cankaya,Apartment,69.1,2,1,0,6,12,Heat_Pump,Unfurnished,1,1,Yes,Street,3.78,0.84,Yes,Yes,4302107.04
HP-00158,Cankaya,Detached,195.1,5,2,27,0,2,Natural_Gas,Unfurnished,1,0,No,Street,12.67,2.12,Yes,No,7194731.59
HP-00159,Uskudar,Townhouse,86.8,2,1,20,13,24,Electric,Unfurnished,0,1,Yes,Nature,6.92,0.36,No,No,6516080.72
HP-00160,Uskudar,Residence,154.5,4,2,12,10,20,Natural_Gas,Unfurnished,1,1,No,City,1.58,1.72,No,Yes,11734870.69
HP-00161,Nilufer,Apartment,62.6,2,1,31,10,18,Natural_Gas,Furnished,1,1,Yes,Park,2.95,1.52,Yes,No,2581293.42
HP-00162,Besiktas,Townhouse,166.0,6,2,23,0,12,Natural_Gas,Furnished,1,2,Yes,Park,2.99,0.87,Yes,No,85433982.13
HP-00163,Atasehir,Residence,94.2,3,1,6,17,26,Central,Unfurnished,1,2,Yes,Street,3.28,0.52,Yes,No,6796194.03
HP-00164,Sisli,Townhouse,197.3,6,2,31,9,12,Heat_Pump,Unfurnished,1,1,No,City,8.51,1.65,Yes,No,13316184.05
HP-00165,Sisli,Apartment,147.0,5,2,2,5,11,Natural_Gas,Unfurnished,0,3,No,Street,2.57,0.67,Yes,Yes,11158898.50
HP-00166,Beylikduzu,Detached,204.4,5,2,23,0,13,Electric,Semi_Furnished,1,1,Yes,Street,9.20,2.13,Yes,Yes,5987638.09
HP-00167,Nilufer,Villa,252.3,7,3,1,0,13,Natural_Gas,Furnished,1,2,Yes,Nature,5.86,0.25,Yes,No,18357520.96
HP-00168,Kadikoy,Apartment,198.1,6,,11,27,36,Natural_Gas,Furnished,2,1,No,Park,9.77,2.51,No,Yes,14461058.51
HP-00169,Besiktas,Apartment,143.3,3,1,3,0,6,Natural_Gas,Furnished,1,1,No,Sea,3.33,1.63,Yes,No,20065616.96
HP-00170,Kadikoy,Apartment,192.3,7,2,35,16,27,Natural_Gas,Unfurnished,2,1,No,Park,0.12,1.03,Yes,No,14480583.39
HP-00171,Beylikduzu,Residence,137.9,4,1,1,2,6,Central,Furnished,0,2,Yes,Sea,1.33,0.71,Yes,No,9279390.01
HP-00172,Beylikduzu,Apartment,64.9,2,1,35,0,10,Central,Semi_Furnished,1,1,No,City,5.18,0.53,Yes,No,1845614.16
HP-00173,Besiktas,Apartment,199.6,5,2,4,5,8,Natural_Gas,Unfurnished,1,1,Yes,Street,1.89,0.97,Yes,No,20037610.29
HP-00174,Karsiyaka,Apartment,126.3,4,2,10,13,23,Heat_Pump,Semi_Furnished,1,4,No,Nature,10.26,0.55,Yes,Yes,6527409.23
HP-00175,Uskudar,Detached,146.1,4,1,14,0,10,Natural_Gas,Furnished,2,0,No,City,12.25,,Yes,No,9100456.10
HP-00176,Kadikoy,Residence,126.5,4,1,15,20,32,Natural_Gas,Unfurnished,1,1,No,Street,5.33,1.26,Yes,Yes,10234544.46
HP-00177,Uskudar,Apartment,149.7,4,1,,2,11,Natural_Gas,Unfurnished,2,1,Yes,Street,20.98,0.35,No,No,7202663.72
HP-00178,Karsiyaka,Detached,191.9,6,2,4,0,12,Natural_Gas,Semi_Furnished,1,1,No,Street,2.69,0.98,Yes,Yes,12909728.13
HP-00179,Kadikoy,Apartment,144.1,5,2,1,25,35,Heat_Pump,Semi_Furnished,1,2,Yes,Park,5.58,1.44,No,Yes,12913911.67
HP-00180,Sisli,Residence,155.8,5,2,3,2,11,Natural_Gas,Semi_Furnished,1,2,No,Street,11.67,1.35,Yes,No,11661060.81
HP-00181,Cankaya,Apartment,164.2,5,2,16,20,26,Central,Semi_Furnished,2,4,No,Park,2.53,0.91,No,Yes,8834399.42
HP-00182,Kadikoy,Residence,297.8,9,3,68,1,7,Natural_Gas,Unfurnished,1,2,Yes,Street,3.80,0.67,No,No,18736038.58
HP-00183,Nilufer,Detached,199.7,6,3,23,0,6,Heat_Pump,Unfurnished,1,1,Yes,Street,5.71,0.79,Yes,No,7845547.14
