customer_id,age,annual_income,debt_to_income,credit_score,employment_years,loan_amount,loan_term_months,late_payments_24m,credit_utilization,region,employment_type,education_level,home_ownership,loan_purpose,device_type,application_hour,default_risk
CUST-00040,40,161715,0.046,660,8.6,56003,36,0,0.346,Guneydogu Anadolu,Maasli,Doktora,Ipotekli,Egitim,Android,16,0
CUST-00041,46,38251,0.221,654,13.1,17289,12,1,0.404,Akdeniz,Maasli,Onlisans,Ev Sahibi,Ihtiyac,Android,8,0
CUST-00042,42,117000,0.207,666,18.4,58096,12,1,0.257,Guneydogu Anadolu,Serbest,Yuksek Lisans,Ev Sahibi,Borc Birlestirme,iOS,19,0
CUST-00043,38,947540,0.462,744,6.7,117027,12,1,0.341,Guneydogu Anadolu,,Lise,Kiraci,Konut,Web,0,0
CUST-00044,36,110895,0.125,628,2.6,14627,60,2,0.488,Ic Anadolu,Maasli,Yuksek Lisans,Ev Sahibi,Ihtiyac,Android,11,0
CUST-00045,48,46221,0.159,651,0.1,25644,60,1,0.397,Karadeniz,Sozlesmeli,Doktora,Ipotekli,Tasit,Web,7,0
CUST-00046,31,69201,0.128,699,7.1,30647,24,1,0.448,Marmara,Maasli,Lisans,Kiraci,Konut,Android,23,0
CUST-00047,18,28637,0.186,625,0.0,8727,36,2,0.126,Marmara,,Lise,Ipotekli,Tasit,iOS,12,0
CUST-00048,21,37586,0.090,608,1.0,13572,36,3,0.433,Karadeniz,Maasli,Onlisans,Ev Sahibi,Ihtiyac,Android,6,0
CUST-00049,43,52814,0.169,600,0.0,19140,60,5,0.612,Karadeniz,Issiz,Yuksek Lisans,Ev Sahibi,Tasit,Android,12,0
CUST-00050,50,40059,0.314,652,12.6,18026,12,1,0.075,Ege,Maasli,Lisans,Ev Sahibi,Ihtiyac,iOS,3,1
CUST-00051,55,35071,0.636,743,32.3,7373,24,2,0.000,Marmara,Maasli,Onlisans,Kiraci,Is Kurma,Android,6,0
CUST-00052,44,77046,0.432,655,22.2,15192,24,0,0.071,Dogu Anadolu,Maasli,Lisans,Ipotekli,Saglik,Web,11,0
CUST-00053,32,92930,,582,0.0,51169,36,6,0.451,Karadeniz,Issiz,Lisans,Aile Yaninda,Tasit,Android,12,1
CUST-00054,61,74510,0.020,633,23.4,37880,24,4,0.225,Marmara,Serbest,Lisans,Kiraci,Ihtiyac,Android,8,0
CUST-00055,51,56643,0.270,693,0.0,19363,36,3,0.296,Marmara,Maasli,Lise,Ev Sahibi,Ihtiyac,Android,19,0
CUST-00056,42,100903,0.593,656,7.6,40982,12,0,0.514,Akdeniz,Maasli,Doktora,Ev Sahibi,Borc Birlestirme,Android,6,0
CUST-00057,32,65401,0.274,605,12.4,30075,36,0,0.281,Guneydogu Anadolu,Maasli,Lisans,Kiraci,Saglik,Android,15,0
CUST-00058,50,81179,0.385,622,10.8,16738,48,3,0.393,Marmara,Serbest,Lisans,Aile Yaninda,Borc Birlestirme,iOS,5,0
CUST-00059,47,97739,0.184,640,8.2,12398,60,3,0.313,Ege,Maasli,Lise,Ev Sahibi,Saglik,Android,20,0
CUST-00060,31,43501,0.328,733,4.2,22986,24,0,0.466,Ege,Maasli,Lise,Kiraci,Ihtiyac,Android,20,0
CUST-00061,42,79962,0.130,654,21.4,28870,24,0,0.391,Ege,Maasli,Lisans,Kiraci,Ihtiyac,iOS,2,0
CUST-00062,32,70376,0.485,609,4.3,34487,24,2,0.206,Ic Anadolu,Emekli,Onlisans,Ev Sahibi,Is Kurma,Android,9,1
CUST-00063,38,40628,0.234,720,14.7,44635,36,1,0.439,Marmara,Maasli,Lise,Ipotekli,Konut,Web,11,0
CUST-00064,34,48649,0.068,613,15.1,22781,84,1,0.695,Marmara,Emekli,Lisans,Kiraci,Borc Birlestirme,iOS,14,0
CUST-00065,33,,0.568,596,0.0,25651,48,1,0.619,Akdeniz,Emekli,Doktora,Ipotekli,Ihtiyac,Android,14,0
CUST-00066,38,56781,0.435,589,3.7,10370,60,1,0.484,Marmara,Maasli,Lise,Ev Sahibi,Saglik,Android,12,0
CUST-00067,47,72311,0.356,636,,20799,12,4,0.465,Marmara,Issiz,Lise,Ipotekli,Tasit,Android,22,0
CUST-00068,41,40827,0.556,601,0.0,23873,120,2,0.732,Karadeniz,Issiz,Lise,Ipotekli,Saglik,iOS,21,1
CUST-00069,41,26080,0.147,684,18.7,14042,24,0,0.623,Marmara,Maasli,Lisans,Ipotekli,Egitim,Android,18,0
CUST-00070,18,30760,0.189,711,0.0,14014,120,4,0.476,Dogu Anadolu,Maasli,Lise,Ipotekli,Tasit,iOS,14,0
CUST-00071,18,41648,0.346,677,0.0,17876,36,2,0.491,Dogu Anadolu,Emekli,Onlisans,Ev Sahibi,Ihtiyac,Android,8,0
CUST-00072,50,55204,0.143,672,24.7,91830,36,2,0.465,Ege,Maasli,Lisans,Ev Sahibi,Egitim,Android,10,0
CUST-00073,61,100245,0.252,666,4.3,37012,48,,0.300,Ege,Sozlesmeli,Yuksek Lisans,Ipotekli,Tasit,,10,1
CUST-00074,46,28768,0.347,628,1.6,17659,36,2,0.000,Karadeniz,Maasli,Lisans,Kiraci,Ihtiyac,Android,4,0
CUST-00075,21,117221,0.273,658,2.9,68908,84,1,0.486,Marmara,Sozlesmeli,Onlisans,Kiraci,Ihtiyac,Web,13,0
CUST-00076,44,86744,0.197,630,6.9,36931,12,2,0.184,Dogu Anadolu,Maasli,Lisans,Ipotekli,Borc Birlestirme,Android,14,0
CUST-00077,32,75116,0.020,634,4.9,38665,36,1,,Ege,Maasli,Lisans,Kiraci,Egitim,iOS,10,0
CUST-00078,63,75586,0.517,693,24.8,9569,36,0,0.271,Marmara,Emekli,,,Ihtiyac,Android,15,0
CUST-00079,38,60996,0.388,700,17.0,14775,60,0,0.000,Marmara,Maasli,Onlisans,Ipotekli,Borc Birlestirme,Web,3,0
CUST-00080,68,41716,0.379,566,0.0,6592,60,5,0.537,Dogu Anadolu,Issiz,Onlisans,Ipotekli,Ihtiyac,iOS,23,1
CUST-00081,34,55000,0.225,689,,10854,36,0,0.014,Akdeniz,Serbest,Lisans,Ipotekli,Ihtiyac,iOS,0,0
CUST-00082,32,110585,0.259,724,11.5,62901,60,0,0.257,Ic Anadolu,Emekli,Lise,Aile Yaninda,Borc Birlestirme,Android,20,0
CUST-00083,25,77692,0.020,625,7.3,40954,84,1,0.349,Marmara,Maasli,Lise,Ev Sahibi,Egitim,iOS,15,0
CUST-00084,41,60851,0.380,701,14.3,22997,36,2,0.423,Marmara,Sozlesmeli,Lisans,Kiraci,Egitim,Android,6,0
CUST-00085,22,22208,0.380,620,2.2,5000,36,2,0.127,Marmara,Maasli,Lisans,Ipotekli,Is Kurma,iOS,5,0
CUST-00086,30,74564,0.527,663,11.2,20542,36,4,0.516,Ic Anadolu,Maasli,Lisans,Ipotekli,Ihtiyac,Android,19,0
CUST-00087,46,79287,0.300,667,9.1,95904,24,2,0.671,Marmara,Sozlesmeli,Doktora,Ipotekli,Konut,Android,18,0
CUST-00088,22,63502,0.486,647,0.0,27856,60,25,1.818,Ic Anadolu,Issiz,Yuksek Lisans,Ipotekli,Ihtiyac,Android,14,1
CUST-00089,62,22870,0.021,682,26.3,8433,48,1,0.287,Akdeniz,Maasli,Onlisans,Kiraci,Tasit,iOS,3,0
CUST-00090,35,77615,0.331,670,17.3,18025,36,0,0.378,Guneydogu Anadolu,Sozlesmeli,,Ipotekli,Saglik,Web,16,0
CUST-00091,25,172404,0.255,674,3.5,106376,12,3,0.763,Marmara,Emekli,Lisans,Kiraci,Ihtiyac,Android,12,0
CUST-00092,27,58717,0.612,673,8.2,30854,36,1,0.690,Ic Anadolu,Maasli,Yuksek Lisans,Kiraci,Saglik,iOS,12,0
CUST-00093,35,52557,,705,13.0,29480,60,2,0.298,Karadeniz,Maasli,Lise,Ipotekli,Borc Birlestirme,Web,14,0
CUST-00094,30,44819,0.403,695,0.0,19641,36,1,0.173,Karadeniz,Maasli,Lisans,Ev Sahibi,Ihtiyac,Android,2,0
CUST-00095,35,73299,0.197,658,15.8,12254,60,1,0.663,Dogu Anadolu,Maasli,Doktora,Ipotekli,Ihtiyac,Android,21,1
CUST-00096,33,34110,0.333,689,8.4,7778,48,0,0.476,Guneydogu Anadolu,Maasli,Lisans,Ev Sahibi,Ihtiyac,Web,21,0
CUST-00097,24,34503,0.248,649,3.7,7580,60,1,0.339,Ic Anadolu,Serbest,Onlisans,Kiraci,Ihtiyac,iOS,10,0
CUST-00098,34,71334,0.239,597,0.0,10558,60,2,0.598,Akdeniz,Issiz,Yuksek Lisans,Kiraci,Egitim,Web,5,0
CUST-00099,18,43855,0.433,625,1.2,12158,12,1,0.182,Ege,Maasli,Lise,Ipotekli,Ihtiyac,iOS,12,0
CUST-00100,32,74235,0.324,667,8.0,25806,84,2,0.532,Dogu Anadolu,Sozlesmeli,Lise,Kiraci,Tasit,iOS,19,1
CUST-00101,50,49144,0.348,674,17.3,27593,120,2,0.232,Karadeniz,Maasli,Onlisans,Ipotekli,Borc Birlestirme,iOS,17,0
CUST-00102,38,84306,0.309,664,20.0,50507,60,2,0.306,Ic Anadolu,Maasli,Lisans,Ev Sahibi,Is Kurma,iOS,7,0
CUST-00103,36,35384,0.147,709,6.0,15016,84,2,0.356,Ege,Maasli,Onlisans,Kiraci,Borc Birlestirme,,0,1
CUST-00104,64,66793,0.317,676,4.8,31570,60,2,0.306,Marmara,Maasli,Yuksek Lisans,Ev Sahibi,Ihtiyac,iOS,15,0
CUST-00105,28,102932,0.532,640,7.7,18628,36,0,0.510,Ic Anadolu,Maasli,Lisans,Kiraci,Ihtiyac,Android,20,0
CUST-00106,58,62059,,657,7.3,36064,36,,0.566,Ege,Emekli,Lise,Ipotekli,Ihtiyac,Android,15,0
CUST-00107,37,63967,0.401,628,14.5,35501,12,0,0.492,Ege,Maasli,Lisans,Kiraci,Ihtiyac,Android,13,0
CUST-00108,18,46985,0.151,690,0.0,28154,60,2,0.511,Marmara,Serbest,Lisans,Kiraci,Konut,iOS,21,0
CUST-00109,30,35538,0.247,633,3.3,13202,120,1,0.091,Ic Anadolu,Sozlesmeli,Lise,Kiraci,Is Kurma,Web,9,0
CUST-00110,43,46720,0.258,665,3.8,24377,60,3,0.000,Marmara,Maasli,Yuksek Lisans,Kiraci,Is Kurma,iOS,2,0
CUST-00111,35,34447,0.314,648,9.6,16856,24,3,0.526,Akdeniz,,Lise,Kiraci,Ihtiyac,Android,14,0
CUST-00112,38,49091,0.408,669,16.3,28706,36,3,0.312,Akdeniz,Emekli,Onlisans,Kiraci,Borc Birlestirme,iOS,18,0
CUST-00113,46,79956,0.359,669,9.5,36270,60,4,0.634,Dogu Anadolu,Sozlesmeli,Lisans,Kiraci,Ihtiyac,Web,11,0
CUST-00114,45,62643,0.123,681,27.7,23133,36,1,0.514,Ege,Serbest,Lise,Ipotekli,Borc Birlestirme,iOS,17,0
CUST-00115,40,43210,0.383,621,18.7,15051,36,1,0.654,Guneydogu Anadolu,Maasli,Lisans,Kiraci,Borc Birlestirme,Web,8,0
CUST-00116,25,24844,0.549,650,2.3,5177,60,6,0.619,Guneydogu Anadolu,Serbest,Onlisans,Kiraci,Egitim,Android,16,0
CUST-00117,40,168216,0.547,664,4.2,95650,60,0,0.719,Marmara,Maasli,Lisans,Ipotekli,Is Kurma,Web,19,0
CUST-00118,38,92657,0.181,726,19.3,58611,36,3,0.273,Karadeniz,Maasli,Lisans,Ev Sahibi,Tasit,Android,18,0
CUST-00119,27,48195,0.267,651,5.2,26677,60,0,0.558,Ic Anadolu,Serbest,Lise,Kiraci,Ihtiyac,Android,15,0
CUST-00120,58,94791,0.422,686,29.5,55210,60,2,0.500,Karadeniz,Serbest,Onlisans,Ev Sahibi,Borc Birlestirme,iOS,6,0
CUST-00121,47,109219,0.532,666,7.3,69717,60,2,0.662,Dogu Anadolu,Maasli,Onlisans,Kiraci,Is Kurma,Android,21,0
CUST-00122,44,106760,0.500,683,11.2,70725,60,0,0.482,Ege,Maasli,Lisans,Ipotekli,Konut,Web,18,0
CUST-00123,19,34741,0.261,674,1.6,9279,12,0,0.137,Guneydogu Anadolu,Maasli,Onlisans,Kiraci,Tasit,Android,1,0
CUST-00124,24,23007,,616,1.8,13500,84,1,0.394,Marmara,Serbest,Lise,Kiraci,Ihtiyac,Android,7,1
CUST-00125,27,20750,0.334,613,8.3,7579,60,1,0.469,Ic Anadolu,Maasli,Lise,Ipotekli,Borc Birlestirme,Android,22,0
CUST-00126,49,56016,0.020,729,16.1,27173,24,1,0.386,Dogu Anadolu,Serbest,Lisans,Ev Sahibi,Borc Birlestirme,Android,8,0
CUST-00127,33,49523,0.203,702,1.7,55768,36,1,0.013,Marmara,Maasli,Lise,Ipotekli,Konut,iOS,22,1
CUST-00128,37,77724,0.236,652,13.8,14133,24,0,0.633,Akdeniz,Maasli,Lise,Kiraci,Saglik,Android,20,0
CUST-00129,45,51667,0.083,661,22.7,14077,120,1,0.633,Karadeniz,Sozlesmeli,Lise,Kiraci,Ihtiyac,iOS,20,0
CUST-00130,35,36824,0.261,683,0.0,16613,48,5,0.574,Marmara,Issiz,Lisans,Kiraci,Tasit,Android,10,0
CUST-00131,41,61157,0.288,675,15.7,22428,36,0,0.631,Marmara,Maasli,Yuksek Lisans,Kiraci,Ihtiyac,Android,11,0
CUST-00132,34,68571,0.403,572,4.1,30542,36,2,0.459,Ege,Emekli,Lise,Kiraci,Borc Birlestirme,Android,10,1
CUST-00133,51,61825,0.272,660,1.3,22379,60,1,0.000,Karadeniz,Maasli,Lisans,Ev Sahibi,Borc Birlestirme,iOS,20,0
CUST-00134,34,24688,0.486,685,15.2,12586,84,2,0.745,Karadeniz,Sozlesmeli,Onlisans,Ev Sahibi,Borc Birlestirme,Android,7,1
CUST-00135,53,68156,0.108,604,0.7,20431,36,2,0.604,Karadeniz,Serbest,Onlisans,Ev Sahibi,Ihtiyac,Android,8,1
CUST-00136,38,139527,0.326,705,11.6,54603,120,3,0.208,Marmara,Serbest,Lisans,Ipotekli,Saglik,Web,23,0
CUST-00137,18,33285,0.307,579,2.7,17863,60,1,0.336,Dogu Anadolu,Maasli,Lise,Kiraci,Borc Birlestirme,Android,12,0
CUST-00138,47,78894,0.020,647,16.0,24994,36,0,0.179,Ic Anadolu,Maasli,Yuksek Lisans,Ev Sahibi,Saglik,Android,7,0
CUST-00139,45,31555,0.125,758,14.7,5379,36,0,0.403,Ic Anadolu,Emekli,Lisans,Ipotekli,Ihtiyac,Android,19,0
CUST-00140,47,39826,0.387,730,22.1,25308,24,3,0.917,Ic Anadolu,Maasli,Lise,Kiraci,Tasit,iOS,1,1
CUST-00141,43,53361,0.438,626,23.2,17207,24,0,0.378,Ic Anadolu,Maasli,Yuksek Lisans,Ipotekli,Egitim,Android,6,0
CUST-00142,49,136476,0.434,713,28.8,57508,24,24,1.690,Marmara,Serbest,Doktora,Ev Sahibi,Is Kurma,Android,9,1
CUST-00143,28,,0.087,,8.5,28680,36,,0.142,Karadeniz,Serbest,Lisans,Ev Sahibi,Konut,Web,22,0
CUST-00144,49,58509,0.298,600,14.1,8160,36,2,0.345,Guneydogu Anadolu,Serbest,Lisans,Kiraci,Egitim,Android,0,0
CUST-00145,56,33169,0.514,657,4.7,14885,36,2,0.542,Marmara,Sozlesmeli,Lise,Ipotekli,Tasit,iOS,16,0
CUST-00146,50,121598,0.148,635,6.5,66208,48,0,0.436,Karadeniz,Maasli,Yuksek Lisans,Kiraci,Ihtiyac,iOS,8,0
CUST-00147,30,29780,0.453,626,,10186,60,2,0.420,Marmara,,Onlisans,Kiraci,Ihtiyac,iOS,5,0
CUST-00148,63,69855,0.272,716,39.7,31458,24,4,0.833,Ege,Maasli,Lisans,Aile Yaninda,Ihtiyac,Web,20,0
CUST-00149,44,66442,0.020,665,1.7,40443,36,3,0.107,Marmara,Serbest,Lisans,Aile Yaninda,Borc Birlestirme,Android,3,0
CUST-00150,33,31230,0.415,690,8.0,7379,12,2,0.130,Ic Anadolu,Maasli,Lisans,Ev Sahibi,Borc Birlestirme,iOS,20,1
CUST-00151,36,71260,0.142,629,16.1,40905,12,0,0.326,Marmara,Maasli,,Kiraci,Tasit,Android,18,0
CUST-00152,36,85681,0.020,651,2.6,53055,48,3,0.374,Ic Anadolu,Emekli,Yuksek Lisans,Aile Yaninda,Ihtiyac,Android,10,0
CUST-00153,53,107827,0.629,,13.4,40142,60,3,0.985,Marmara,Maasli,Yuksek Lisans,Ipotekli,Saglik,Android,6,0
CUST-00154,55,39670,0.230,651,0.0,21117,60,5,0.831,Ic Anadolu,Issiz,Onlisans,Ev Sahibi,Ihtiyac,Android,10,1
CUST-00155,24,53954,0.145,634,0.0,6825,120,4,0.390,Akdeniz,Issiz,Lisans,Kiraci,Borc Birlestirme,iOS,18,1
CUST-00156,44,41676,0.567,677,3.9,21144,60,1,0.364,Marmara,Maasli,Lise,Ipotekli,Borc Birlestirme,,21,1
CUST-00157,30,62136,0.499,669,5.9,12072,24,3,0.634,Guneydogu Anadolu,Sozlesmeli,Lise,Ipotekli,Ihtiyac,iOS,17,0
CUST-00158,34,176259,0.407,642,4.9,99411,48,2,0.109,Ege,Maasli,Lisans,,Tasit,Android,7,0
CUST-00159,20,47246,0.322,629,2.1,21074,120,1,0.428,Karadeniz,Serbest,Lise,Kiraci,Tasit,Android,5,0
CUST-00160,37,34726,0.373,649,3.1,7740,12,1,0.392,Karadeniz,Serbest,Lisans,Kiraci,Ihtiyac,Android,6,0
CUST-00161,18,98677,0.322,603,0.0,49579,36,1,0.164,Ic Anadolu,Maasli,Yuksek Lisans,Kiraci,Is Kurma,Android,22,0
CUST-00162,42,114993,0.322,650,8.7,64773,36,1,0.165,Ic Anadolu,Maasli,Yuksek Lisans,Aile Yaninda,Saglik,iOS,0,0
CUST-00163,54,37041,0.345,660,16.0,7856,36,0,0.392,Akdeniz,Maasli,Yuksek Lisans,Kiraci,Ihtiyac,iOS,12,0
CUST-00164,36,59409,0.304,702,0.0,22208,36,0,0.217,Ege,Maasli,Onlisans,Aile Yaninda,Saglik,Android,5,0
CUST-00165,42,25456,0.423,670,24.2,8507,36,2,0.142,Akdeniz,Maasli,Lise,Kiraci,Ihtiyac,Android,15,0
CUST-00166,35,41126,0.270,674,0.0,19527,24,3,0.565,Akdeniz,Maasli,Lise,Kiraci,Tasit,iOS,22,0
CUST-00167,25,66871,0.664,587,2.3,41516,60,2,0.389,Karadeniz,Maasli,Lisans,Ipotekli,Ihtiyac,Web,17,1
CUST-00168,23,38682,0.238,651,3.2,9318,36,3,0.369,Ic Anadolu,Serbest,Onlisans,Aile Yaninda,Tasit,Android,8,0
CUST-00169,51,116157,0.337,695,22.0,58052,48,2,0.337,Ege,Serbest,Lisans,Ipotekli,Is Kurma,Android,16,0
CUST-00170,63,85565,0.114,660,39.6,31096,36,2,0.277,Dogu Anadolu,Maasli,Onlisans,Ev Sahibi,Ihtiyac,Web,12,0
CUST-00171,54,32065,0.343,691,30.1,8870,24,,0.507,Marmara,Maasli,Lise,Ev Sahibi,Ihtiyac,Android,17,0
CUST-00172,18,56517,0.432,695,0.0,51353,60,0,0.378,Ic Anadolu,Maasli,Lise,Ipotekli,Konut,Android,9,0
CUST-00173,42,88923,0.335,711,,22909,60,0,0.284,Dogu Anadolu,Maasli,Lisans,Ipotekli,Is Kurma,iOS,7,0
CUST-00174,64,107850,0.080,608,6.4,60617,36,0,0.379,Marmara,Maasli,Yuksek Lisans,Ev Sahibi,Tasit,Android,8,0
CUST-00175,28,57242,0.148,660,3.6,22435,84,4,0.252,Marmara,Maasli,Lise,Ipotekli,Tasit,Android,20,0
CUST-00176,40,42221,0.190,641,2.6,7902,84,1,0.076,Ic Anadolu,Serbest,Lise,Kiraci,Ihtiyac,Android,6,0
CUST-00177,40,32766,0.481,701,16.2,14230,48,1,0.071,Marmara,Maasli,Lise,Kiraci,Ihtiyac,Web,13,0
CUST-00178,61,,0.558,680,0.0,41778,36,7,0.919,Guneydogu Anadolu,Issiz,Lise,Kiraci,Ihtiyac,Android,19,1
CUST-00179,31,74839,0.445,720,9.9,26508,48,2,0.266,Ege,,Yuksek Lisans,,Egitim,Web,1,1
CUST-00180,53,,0.556,676,25.1,66281,36,0,0.462,Ic Anadolu,Maasli,Yuksek Lisans,Ipotekli,Tasit,iOS,11,0
CUST-00181,56,97625,0.331,654,8.5,48730,24,0,0.370,Karadeniz,Maasli,Yuksek Lisans,Kiraci,Ihtiyac,Android,18,0
CUST-00182,40,46921,0.427,592,12.0,17597,12,2,0.534,Ege,Sozlesmeli,Lisans,Ev Sahibi,Borc Birlestirme,Android,11,0
CUST-00183,52,69736,,681,25.8,12805,48,3,0.509,Ege,Maasli,Onlisans,Ev Sahibi,Borc Birlestirme,,0,0
CUST-00184,36,35989,0.144,686,12.8,5575,24,0,0.279,Marmara,Maasli,Lise,Ev Sahibi,Ihtiyac,Android,9,0
CUST-00185,34,36860,0.316,685,6.0,5000,60,2,0.321,Marmara,Maasli,Onlisans,Aile Yaninda,Ihtiyac,Web,20,0
CUST-00186,29,85913,0.291,658,10.3,23639,24,0,0.414,Ege,Maasli,Yuksek Lisans,Ipotekli,Saglik,Web,4,0
CUST-00187,42,73475,0.050,661,16.6,26122,48,3,0.442,Ege,Sozlesmeli,Lisans,Kiraci,Tasit,iOS,5,0
CUST-00188,44,118893,0.318,661,12.3,31912,48,0,0.219,Ege,Maasli,Lisans,Kiraci,Saglik,Web,16,0
CUST-00189,34,77246,0.201,629,2.0,13620,120,0,0.485,Ic Anadolu,Sozlesmeli,Yuksek Lisans,Aile Yaninda,Saglik,Android,0,0
CUST-00190,37,65253,0.157,578,0.0,19546,36,2,0.482,Ic Anadolu,Maasli,Lise,Kiraci,Tasit,iOS,4,0
CUST-00191,42,50955,,644,7.6,17754,120,1,0.302,Dogu Anadolu,Sozlesmeli,Lise,Kiraci,Borc Birlestirme,Web,2,0
CUST-00192,57,78638,0.449,669,22.1,12435,60,4,,Marmara,Sozlesmeli,Lisans,Ev Sahibi,Saglik,iOS,0,0
