Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Monthly_Debt,Credit_Score,Credit_History_Years,Num_Credit_Cards,Num_Late_Payments,Loan_Amount,Loan_Term_Months,Interest_Rate,Existing_Loans,Savings_Balance,Checking_Balance,Home_Ownership,Dependents,Years_at_Current_Job,Region,Monthly_Expenses,Debt_to_Income_Ratio,Utilization_Rate,Recent_Credit_Inquiries,Has_CoSigner,Previous_Default,Default
CUST-000043,46,Male,Married,Bachelor,Unemployed,14371.7,747.26,522.0,25.7,0,5,80286.83,60,11.39,2,0.0,399.91,Rent,0,2.9,North,467.47,0.6239,0.6846,3,No,1,1
CUST-000044,30,Female,Married,Master,Retired,45589.67,1586.71,715.0,4.9,2,1,8351.87,24,6.91,1,18964.01,6660.01,Mortgage,1,8.5,North,1419.8,0.4176,0.6127,1,No,0,0
CUST-000045,22,Female,Married,Associate,Salaried,219246.27,8165.94,711.0,2.5,2,0,12504.11,60,3.86,2,13059.56,-3500.0,,3,1.7,North,5939.25,0.4469,0.8158,2,No,0,0
CUST-000046,39,Male,Married,High School,Salaried,24961.95,1019.45,716.0,17.5,3,0,70829.76,36,10.54,1,11018.28,,Mortgage,3,15.0,West,1079.99,0.4901,0.6775,2,No,0,0
CUST-000047,28,Male,Single,Doctorate,Salaried,62964.0,3360.03,635.0,6.0,0,1,68748.39,36,6.05,0,15675.52,3436.32,Own,1,1.6,South,1124.94,0.6404,0.5548,1,No,0,0
CUST-000048,23,Female,Single,Doctorate,Contract,522343.26,1327.38,726.0,3.3,4,0,11046.82,84,4.33,0,8041.9,3773.78,Own,1,1.1,South,2289.46,0.1698,0.6927,1,No,0,0
CUST-000049,51,Female,Married,High School,Salaried,59141.84,863.74,743.0,31.2,5,0,4060.55,36,5.45,1,7999.03,6782.79,Rent,1,13.2,North,1842.29,0.1753,0.8822,0,No,0,0
CUST-000050,60,Female,Widowed,Bachelor,Salaried,43746.82,625.77,618.0,32.2,2,2,29908.21,60,8.26,5,1480.68,2377.85,Own,1,31.1,West,2621.77,0.1717,0.4716,2,No,1,0
CUST-000051,23,Male,Widowed,High School,Contract,28428.02,1779.52,642.0,3.2,4,2,20993.99,60,4.21,2,4606.04,644.35,Own,0,2.6,South,1183.51,0.7512,0.5139,0,No,0,0
CUST-000052,46,Female,Single,Doctorate,Self-employed,50480.19,1894.71,565.0,26.4,4,4,24494.55,60,15.87,3,1081.73,2246.51,Rent,0,23.7,East,1860.02,0.4504,0.6267,3,No,1,1
CUST-000053,18,Male,Single,High School,Contract,39148.68,416.22,762.0,0.0,6,0,11801.14,48,6.16,0,4323.09,4947.97,,1,0.0,South,361.61,0.1276,0.3966,2,No,0,0
CUST-000054,31,Female,Single,High School,Salaried,69295.68,661.16,725.0,7.1,2,2,31237.61,36,6.92,2,3277.4,6358.55,Mortgage,0,4.8,Central,4330.46,0.1145,0.6528,0,Yes,0,0
CUST-000055,46,Male,Married,Bachelor,Salaried,56312.4,1894.9,738.0,23.4,3,0,23441.99,36,9.74,1,2606.59,5852.91,Mortgage,4,16.7,South,2087.37,0.4038,0.5416,1,No,0,0
CUST-000056,40,Female,Married,Associate,Contract,74201.5,1086.08,616.0,20.5,4,3,18400.99,36,10.47,1,6139.74,8092.88,Own,2,14.9,North,2403.82,0.1756,0.3763,1,No,1,0
CUST-000057,36,Male,Married,Bachelor,Contract,48371.87,594.8,701.0,17.7,2,1,20471.13,24,7.45,1,5745.39,1732.27,Other,2,3.4,West,2453.89,0.1476,0.6096,1,No,0,0
CUST-000058,53,Male,Single,Master,Salaried,81600.01,508.84,746.0,23.3,5,1,22800.58,48,5.46,1,18003.47,519.07,Rent,0,18.8,West,2854.21,0.0748,0.4845,2,No,0,0
CUST-000059,46,Female,Divorced,Associate,Self-employed,69771.43,1775.2,759.0,21.5,3,1,22477.56,48,5.05,3,2166.16,,Rent,0,21.2,Central,1559.94,0.3053,0.3085,1,Yes,0,0
CUST-000060,47,Male,Married,Master,Salaried,73249.99,1858.0,707.0,27.6,5,0,67416.37,36,5.24,1,5865.96,916.11,Mortgage,2,12.6,West,1499.16,0.3044,0.6573,0,No,0,0
CUST-000061,49,Female,Single,Associate,Self-employed,54244.42,679.77,673.0,23.4,2,0,35789.42,60,6.38,1,2107.18,,Mortgage,1,10.5,East,2922.69,0.1504,0.3761,2,No,0,0
CUST-000062,38,Female,Married,Bachelor,Self-employed,60881.81,641.47,731.0,18.0,5,1,47719.11,48,4.18,0,1514.15,,Rent,0,8.7,Central,2588.6,0.1264,0.6507,0,No,0,0
CUST-000063,57,Female,Single,Associate,Salaried,27272.87,645.39,657.0,36.9,3,2,20187.23,60,7.63,1,6970.12,-823.12,Own,0,4.2,Central,1309.91,0.284,0.7633,0,No,0,0
CUST-000064,28,Male,Married,Bachelor,Salaried,183981.82,1646.49,717.0,6.3,6,0,50071.33,24,2.9,6,41704.36,23991.18,Mortgage,0,5.7,West,10910.65,0.1074,0.5407,3,No,0,0
CUST-000065,37,Female,Married,Associate,Salaried,60308.65,2032.66,693.0,10.3,3,2,32736.7,60,7.04,5,12535.27,3975.96,Rent,1,6.4,South,3287.52,0.4045,0.4924,0,No,0,0
CUST-000066,50,Male,Married,Master,Salaried,110691.12,1480.13,635.0,31.0,4,0,28869.1,60,10.17,3,22638.65,2703.69,Own,0,15.1,West,2311.74,0.1605,0.7373,2,No,0,0
CUST-000067,32,Female,Single,Bachelor,Salaried,31580.76,414.0,627.0,9.6,4,4,19401.33,36,6.1,1,1331.54,1627.36,Own,0,9.8,West,350.0,0.1573,0.3213,0,No,0,0
CUST-000068,45,Female,Single,Associate,Salaried,53227.41,1880.69,792.0,25.3,7,0,12189.59,36,2.5,2,8507.99,4348.05,Mortgage,0,23.5,West,1537.45,0.424,0.0996,0,No,0,0
CUST-000069,45,Female,Married,High School,Salaried,28806.8,1834.35,747.0,25.1,5,0,8959.3,24,6.43,0,12698.28,3020.11,Rent,1,13.6,Central,1624.16,0.7641,0.5668,3,No,0,1
CUST-000070,32,Female,Married,Associate,Salaried,64233.57,521.41,751.0,10.8,2,0,42070.62,60,5.29,1,2784.23,9445.62,Mortgage,1,1.4,North,2700.77,0.0974,0.613,1,Yes,0,0
CUST-000071,64,Male,Married,Associate,Self-employed,50589.09,898.25,746.0,40.2,5,0,27014.98,36,6.42,1,18436.71,2503.2,Rent,0,13.9,West,2362.1,0.2131,0.3925,1,No,0,0
CUST-000072,51,Male,Married,Bachelor,Salaried,,1623.07,746.0,29.9,5,0,46348.42,60,4.63,1,5367.98,3334.88,Mortgage,4,18.7,West,933.01,0.4026,0.6179,0,No,0,0
CUST-000073,44,Male,Divorced,High School,,16207.38,446.09,702.0,22.5,0,0,30882.06,60,2.5,1,5171.54,445.69,Rent,0,14.3,West,415.1,0.3303,,1,No,0,0
CUST-000074,43,Female,Married,Bachelor,Self-employed,94276.93,377.63,773.0,13.2,1,0,12470.87,36,4.06,1,29775.12,6082.04,Mortgage,1,15.2,North,3656.58,0.0481,0.2592,0,Yes,0,0
CUST-000075,50,Female,Married,Bachelor,Salaried,42695.99,111.39,717.0,29.2,4,1,37683.78,72,8.75,2,10229.23,1930.11,Mortgage,1,20.4,West,1553.51,0.0313,0.1839,1,No,0,0
CUST-000076,30,Female,Single,Associate,Salaried,104646.22,965.96,662.0,9.0,3,1,11376.89,36,5.03,0,5820.04,3272.6,Own,0,5.5,West,5022.23,0.1108,0.7076,1,No,0,0
CUST-000077,33,Male,Married,High School,Retired,25848.49,651.82,698.0,11.4,3,0,33996.43,24,9.31,0,9065.04,-40.06,Mortgage,1,3.6,West,1454.13,0.3026,0.4035,1,No,0,0
CUST-000078,37,Female,Married,Associate,Contract,31449.14,1495.5,656.0,18.6,3,1,18627.47,24,8.71,0,1269.36,2007.14,Mortgage,4,4.6,South,2395.59,0.5706,0.4274,1,Yes,0,0
CUST-000079,19,Female,Married,Doctorate,Salaried,115347.45,3359.32,667.0,0.0,3,2,21399.0,60,4.8,2,26022.75,,Rent,2,0.3,East,3986.63,0.3495,0.4134,0,No,0,0
CUST-000080,45,Female,Married,Bachelor,Contract,40069.74,897.2,618.0,23.3,2,3,18714.12,12,8.23,2,809.93,,Own,1,14.3,South,1203.63,0.2687,0.5451,2,No,0,0
CUST-000081,49,Male,Single,High School,Salaried,84673.08,1946.13,727.0,19.5,3,0,18511.21,48,6.1,4,8471.27,-3500.0,Rent,0,5.6,East,1823.56,0.2758,0.2813,0,No,0,0
CUST-000082,32,Female,Married,Master,Retired,73186.55,1885.0,712.0,13.0,1,2,35841.99,36,8.54,0,9079.41,3301.23,Mortgage,1,4.2,East,1472.64,0.3091,0.3199,3,Yes,0,0
CUST-000083,46,Male,Single,Associate,Salaried,32932.24,1230.84,736.0,27.5,3,1,14647.43,48,4.88,1,3668.06,3557.57,Mortgage,0,11.0,South,688.1,0.4485,0.8391,1,No,0,0
CUST-000084,22,Female,Married,Bachelor,Salaried,76985.09,4302.99,688.0,0.1,1,3,31055.58,36,6.29,2,9377.4,-2155.16,Mortgage,2,1.2,South,4277.03,0.6707,0.2447,1,No,0,0
CUST-000085,65,Male,Single,Associate,Unemployed,18232.95,853.85,709.0,44.8,4,2,20233.43,60,7.79,2,0.0,1242.73,Other,0,2.4,South,350.0,0.562,0.2827,1,No,0,1
CUST-000086,27,Female,Married,Associate,Salaried,41164.55,2067.84,747.0,0.8,5,0,23692.54,36,10.36,2,6107.84,4731.94,Rent,0,5.0,South,1561.75,0.6028,0.2166,2,No,0,0
CUST-000087,27,Male,Married,Master,Contract,157098.16,1439.77,702.0,7.0,4,1,22482.31,36,8.53,2,29658.56,-2845.27,Rent,1,2.3,North,5943.89,0.11,0.4068,1,Yes,0,0
CUST-000088,32,Female,Single,Bachelor,Salaried,67605.22,3029.88,618.0,13.1,2,1,8727.58,72,9.36,1,2333.22,9075.89,Mortgage,0,5.2,North,1436.5,0.5378,0.3283,0,No,0,0
CUST-000089,53,Male,Single,Bachelor,Salaried,87603.36,1228.68,670.0,26.9,3,0,32702.2,36,6.65,1,3452.47,-328.5,Mortgage,1,5.4,Central,2134.29,0.1683,0.276,1,No,0,0
CUST-000090,32,Male,Married,Associate,Salaried,57442.39,2391.63,624.0,7.0,2,1,59468.01,48,13.59,0,5797.09,1334.19,Mortgage,1,1.8,East,3480.62,0.4996,0.5509,3,No,1,1
CUST-000091,42,Female,Single,Associate,Salaried,153529.8,715.98,710.0,22.1,2,1,34936.65,60,3.89,1,26473.98,10216.56,Rent,0,1.4,North,7163.7,0.056,0.2069,3,No,0,0
CUST-000092,47,Female,Single,Bachelor,Salaried,62159.72,914.68,675.0,28.0,2,2,34059.77,60,6.74,2,8165.02,-3500.0,Rent,0,14.1,West,1589.41,0.1766,0.3668,1,No,1,0
CUST-000093,35,Male,Single,High School,Self-employed,42451.65,297.2,674.0,16.0,0,1,38709.78,60,7.72,2,6351.93,,Own,0,9.2,South,1213.76,0.084,0.1966,5,No,0,1
CUST-000094,56,Male,Single,Bachelor,Retired,60358.24,2441.8,760.0,30.9,3,0,11540.55,24,2.5,2,4872.84,823.88,Mortgage,0,17.0,West,2941.31,0.4855,0.5769,2,No,0,0
CUST-000095,35,Male,Single,Bachelor,Self-employed,90489.8,4605.81,711.0,12.7,3,0,34681.68,60,5.3,3,29152.61,3860.14,Rent,1,5.0,East,5821.88,0.6108,0.5249,0,No,0,0
CUST-000096,41,Female,Single,Master,Salaried,71420.35,509.32,817.0,18.1,6,0,21774.06,60,4.08,1,858.66,8252.75,Rent,0,11.8,West,3076.05,0.0856,0.5451,2,No,0,0
CUST-000097,50,Female,Divorced,High School,Salaried,19396.8,398.79,739.0,27.5,2,0,10698.31,36,2.91,2,2426.5,380.1,Mortgage,0,5.5,South,552.91,0.2467,0.2484,0,No,0,0
CUST-000098,38,Male,Married,Doctorate,Salaried,41973.26,1476.13,619.0,16.2,6,1,7898.11,72,11.82,1,12184.21,2471.11,Mortgage,4,6.5,East,1672.37,0.422,,1,No,0,0
CUST-000099,44,Female,Married,Doctorate,Salaried,69299.56,1715.63,783.0,25.1,3,0,26942.83,60,2.5,0,38230.15,,Rent,2,8.4,Central,1873.92,0.2971,0.0654,0,No,0,0
CUST-000100,31,Female,Married,Associate,Salaried,37639.01,797.57,691.0,11.4,0,1,13815.18,36,7.46,0,4294.89,923.54,Rent,0,7.5,West,2221.57,0.2543,0.3098,1,No,0,0
CUST-000101,41,Female,Single,Bachelor,Salaried,67146.17,1033.72,715.0,17.5,1,1,39093.13,48,7.29,0,5457.91,-2663.16,Other,0,5.0,South,2103.95,0.1847,0.6397,3,No,0,0
CUST-000102,32,Male,Married,Bachelor,Salaried,46741.78,1614.3,772.0,13.2,5,0,17083.96,36,5.06,3,22951.12,111.65,Own,0,0.8,West,2328.42,0.4144,0.6472,1,No,0,0
CUST-000103,25,Female,Divorced,Bachelor,Salaried,56834.52,1174.05,708.0,5.2,3,0,15356.49,84,5.56,1,31765.76,5490.02,Rent,0,2.4,East,2770.53,0.2479,0.1789,1,No,0,0
CUST-000104,34,Female,Married,Bachelor,Contract,20261.26,413.43,686.0,15.0,1,0,3627.83,36,9.77,0,927.37,164.79,Rent,0,4.4,North,746.99,0.2449,0.0777,0,No,0,0
CUST-000105,49,Male,Married,Doctorate,Retired,54290.58,1219.97,762.0,24.6,2,0,30685.4,72,2.55,5,3371.65,3251.04,Rent,1,9.6,West,1482.86,0.2697,0.308,2,No,0,0
CUST-000106,32,Male,Married,High School,Unemployed,8933.83,68.86,747.0,9.5,5,1,23798.76,60,2.5,0,,297.79,Own,1,1.1,Central,670.43,0.0925,0.5344,1,No,0,1
CUST-000107,54,Female,Married,Bachelor,Salaried,66647.09,2323.5,765.0,30.1,0,1,35309.55,36,4.25,1,1483.66,2722.76,Own,2,11.0,West,2402.03,0.4184,0.6329,2,No,0,0
CUST-000108,51,Male,Single,Associate,Retired,39887.11,1088.68,713.0,32.2,4,1,14799.07,60,6.04,1,2390.74,-311.05,Rent,0,26.8,Central,877.88,0.3275,0.4824,1,No,0,0
CUST-000109,40,Female,Single,Bachelor,Self-employed,73851.67,1350.15,696.0,16.5,2,0,11014.85,36,5.03,2,5679.23,12583.79,Own,0,10.7,West,3526.05,0.2194,0.6942,2,No,0,0
CUST-000110,57,Male,Single,High School,Salaried,47797.54,1105.38,719.0,35.0,4,1,11263.24,60,4.61,2,3634.77,1211.56,Mortgage,0,17.4,West,2551.99,0.2775,0.2976,0,No,0,0
CUST-000111,34,Male,Widowed,Master,Salaried,60580.82,371.83,637.0,10.6,2,2,4238.2,48,6.9,1,10693.64,3427.68,Other,0,6.0,East,1147.79,0.0737,0.7879,0,Yes,0,0
CUST-000112,60,Male,Divorced,Bachelor,Salaried,142346.5,4169.85,679.0,40.8,3,3,22809.76,60,5.1,2,5080.39,3090.44,Own,0,36.3,West,3794.08,0.3515,0.7741,3,No,0,0
CUST-000113,31,Female,Single,Doctorate,Salaried,106690.72,3918.92,570.0,9.6,6,1,59447.03,48,11.49,1,22902.89,-2412.41,Mortgage,0,8.3,West,6750.41,0.4408,0.6653,1,No,1,1
CUST-000114,39,Male,Divorced,Doctorate,Self-employed,95170.56,1039.93,644.0,20.5,0,3,12117.4,48,10.6,2,43527.46,11769.81,Own,1,7.1,East,2932.49,0.1311,0.6001,3,No,1,1
CUST-000115,35,Male,Single,Associate,Salaried,29522.09,1509.38,671.0,11.8,3,0,13120.25,48,3.94,2,2537.14,-762.33,,0,7.1,West,1843.66,0.6135,0.6965,1,No,0,0
CUST-000116,30,Male,Single,Bachelor,Contract,35395.61,1041.18,670.0,6.1,2,1,28411.66,36,8.14,1,167.0,2012.33,Mortgage,1,,North,1418.71,0.353,0.1179,1,No,0,0
CUST-000117,46,Male,Married,Bachelor,Salaried,93836.25,4493.31,740.0,21.0,3,1,14542.66,48,4.36,1,968.08,12342.41,Mortgage,2,8.3,North,5951.38,0.5746,0.3566,1,No,0,0
CUST-000118,32,Female,Single,Bachelor,Unemployed,49567.53,532.2,629.0,12.3,2,1,18007.59,60,11.55,1,8742.82,681.81,Rent,0,1.1,East,1843.88,0.1288,0.1348,0,No,0,0
CUST-000119,42,Male,Divorced,Bachelor,Contract,69688.1,1531.21,726.0,21.5,1,1,52622.56,60,5.58,2,3703.99,7413.49,Rent,2,6.5,South,4456.69,0.2637,0.2399,1,No,0,0
CUST-000120,38,Female,Single,Associate,Self-employed,54385.14,3157.44,708.0,14.2,2,0,14162.15,48,6.67,0,9995.29,2366.95,Own,0,4.9,West,1790.12,0.6967,0.2257,0,No,0,0
CUST-000121,55,Male,Single,Master,Contract,43334.84,386.19,598.0,36.3,5,0,33559.89,48,14.6,3,7326.68,-2351.38,Mortgage,1,5.6,South,1894.36,0.1069,0.2346,1,No,1,0
CUST-000122,44,Non-binary,Single,Master,Contract,86689.05,3747.9,749.0,24.4,3,1,15769.46,84,3.9,1,4068.36,-3500.0,Rent,1,2.0,North,3036.07,0.5188,0.5515,0,Yes,0,0
CUST-000123,48,Female,Married,High School,Unemployed,13220.84,240.75,694.0,22.5,4,4,6572.47,60,8.47,0,0.0,-321.96,Mortgage,1,0.9,East,477.49,0.2185,0.8584,0,No,0,0
CUST-000124,39,Female,Married,High School,Salaried,50453.83,598.71,785.0,14.4,5,0,48243.88,48,5.94,2,3231.17,-1242.18,Own,2,8.7,South,3531.22,0.1424,0.8422,2,No,0,0
CUST-000125,30,Female,Single,Master,Salaried,65153.23,2750.78,733.0,5.4,5,0,13725.47,60,4.43,0,6505.68,7488.49,Own,0,1.8,South,2203.39,0.5066,0.5786,1,No,0,0
CUST-000126,43,Male,Single,Bachelor,Self-employed,438426.35,643.39,639.0,23.2,0,1,63285.14,36,6.0,1,5359.22,5717.06,Rent,1,,South,3485.34,0.0637,0.3169,2,No,0,0
CUST-000127,32,Female,Married,Bachelor,Salaried,50296.8,1345.31,672.0,4.8,5,0,14343.46,24,3.38,3,9811.04,-2351.37,Rent,2,9.0,West,818.05,0.321,0.2743,4,No,0,1
CUST-000128,32,Female,Married,Bachelor,Salaried,58793.45,1755.85,696.0,9.3,3,1,256993.27,48,6.45,4,4773.81,4294.51,Mortgage,0,7.5,North,1623.93,0.3584,0.5166,2,No,0,1
CUST-000129,47,Female,Single,Bachelor,Salaried,39478.64,1179.33,716.0,22.9,8,0,12010.34,84,6.26,2,11452.25,-3500.0,Rent,1,11.1,North,1635.06,0.3585,0.2834,0,No,0,0
CUST-000130,47,Male,Single,Master,Self-employed,30918.77,753.47,688.0,14.8,4,0,35923.22,48,8.05,1,6378.02,1945.16,Rent,3,8.7,East,835.47,0.2924,0.2639,0,Yes,0,0
